id,title,url,is_paid,num_subscribers,avg_rating,avg_rating_recent,rating,num_reviews,is_wishlisted,num_published_lectures,num_published_practice_tests,created,published_time,discount_price__amount,discount_price__currency,discount_price__price_string,price_detail__amount,price_detail__currency,price_detail__price_string
762616,The Complete SQL Bootcamp 2020: Go from Zero to Hero,/course/the-complete-sql-bootcamp/,True,295509,4.66019,4.67874,4.67874,78006,False,84,0,2016-02-14T22:57:48Z,2016-04-06T05:16:11Z,455.0,INR,₹455,8640.0,INR,"₹8,640"
937678,Tableau 2020 A-Z: Hands-On Tableau Training for Data Science,/course/tableau10/,True,209070,4.58956,4.60015,4.60015,54581,False,78,0,2016-08-22T12:10:18Z,2016-08-23T16:59:49Z,455.0,INR,₹455,8640.0,INR,"₹8,640"
1361790,PMP Exam Prep Seminar -  PMBOK Guide 6,/course/pmp-pmbok6-35-pdus/,True,155282,4.59491,4.59326,4.59326,52653,False,292,2,2017-09-26T16:32:48Z,2017-11-14T23:58:14Z,455.0,INR,₹455,8640.0,INR,"₹8,640"
648826,The Complete Financial Analyst Course 2020,/course/the-complete-financial-analyst-course/,True,245860,4.54407,4.53772,4.53772,46447,False,338,0,2015-10-23T13:34:35Z,2016-01-21T01:38:48Z,455.0,INR,₹455,8640.0,INR,"₹8,640"
637930,An Entire MBA in 1 Course:Award Winning Business School Prof,/course/an-entire-mba-in-1-courseaward-winning-business-school-prof/,True,374836,4.4708,4.47173,4.47173,41630,False,83,0,2015-10-12T06:39:46Z,2016-01-11T21:39:33Z,455.0,INR,₹455,8640.0,INR,"₹8,640"
1208634,Microsoft Power BI - A Complete Introduction [2020 EDITION],/course/powerbi-complete-introduction/,True,124180,4.56228,4.57676,4.57676,38093,False,275,0,2017-05-08T13:03:21Z,2017-05-15T18:48:54Z,455.0,INR,₹455,8640.0,INR,"₹8,640"
864146,Agile Crash Course: Agile Project Management; Agile Delivery,/course/agile-crash-course/,True,96207,4.32383,4.29118,4.29118,30470,False,23,0,2016-05-30T22:57:40Z,2016-06-23T17:49:26Z,455.0,INR,₹455,8640.0,INR,"₹8,640"
321410,Beginner to Pro in Excel: Financial Modeling and Valuation,/course/beginner-to-pro-in-excel-financial-modeling-and-valuation/,True,127680,4.54034,4.53346,4.53346,28665,False,275,0,2014-10-17T08:39:52Z,2014-11-25T23:00:40Z,455.0,INR,₹455,8640.0,INR,"₹8,640"
673654,Become a Product Manager | Learn the Skills & Get the Job,/course/become-a-product-manager-learn-the-skills-get-a-job/,True,112572,4.50386,4.5008,4.5008,27408,False,144,0,2015-11-18T19:35:12Z,2016-03-17T17:04:59Z,455.0,INR,₹455,8640.0,INR,"₹8,640"
1653432,The Business Intelligence Analyst Course 2020,/course/the-business-intelligence-analyst-course-2018/,True,115269,4.50067,4.49575,4.49575,23906,False,413,0,2018-04-19T07:00:09Z,2018-04-25T18:40:55Z,455.0,INR,₹455,8640.0,INR,"₹8,640"
1570206,Microsoft Power BI - Up & Running With Power BI Desktop,/course/microsoft-power-bi-up-running-with-power-bi-desktop/,True,86715,4.61951,4.63301,4.63301,23580,False,117,0,2018-02-25T19:08:58Z,2018-04-26T17:06:36Z,455.0,INR,₹455,8640.0,INR,"₹8,640"
751792,Business Analysis Fundamentals,/course/business-analysis-ba/,True,82015,4.49968,4.49034,4.49034,23326,False,67,0,2016-02-03T23:00:19Z,2016-02-21T21:40:32Z,455.0,INR,₹455,8640.0,INR,"₹8,640"
613808,Leadership: Practical Leadership Skills,/course/practical-leadership/,True,68148,4.5687,4.59302,4.59302,22595,False,43,0,2015-09-16T15:18:48Z,2015-10-09T20:54:44Z,455.0,INR,₹455,5760.0,INR,"₹5,760"
1288044,The Complete Foundation Stock Trading Course,/course/foundation-course/,True,76812,4.53878,4.54203,4.54203,21537,False,41,0,2017-07-11T17:01:20Z,2017-08-25T00:48:17Z,455.0,INR,₹455,8640.0,INR,"₹8,640"
1405632,SQL - MySQL for Data Analytics and Business Intelligence,/course/sql-mysql-for-data-analytics-and-business-intelligence/,True,78968,4.57035,4.57067,4.57067,21436,False,286,0,2017-10-23T15:17:41Z,2017-10-25T05:29:35Z,455.0,INR,₹455,8640.0,INR,"₹8,640"
1202988,The Complete Financial Analyst Training & Investing Course,/course/the-complete-financial-analyst-training-and-investing-course/,True,182002,4.49571,4.49507,4.49507,21421,False,225,0,2017-05-03T17:04:31Z,2017-08-17T17:53:15Z,455.0,INR,₹455,8640.0,INR,"₹8,640"
996228,The Ultimate Hands-On Hadoop - Tame your Big Data!,/course/the-ultimate-hands-on-hadoop-tame-your-big-data/,True,114945,4.51251,4.52998,4.52998,21394,False,101,0,2016-10-27T21:39:22Z,2017-02-23T18:42:20Z,455.0,INR,₹455,8640.0,INR,"₹8,640"
965832,The Complete Investment Banking Course 2020,/course/the-complete-investment-banking-course-2016/,True,88468,4.49804,4.48929,4.48929,19970,False,160,0,2016-09-23T07:55:41Z,2016-10-10T16:16:26Z,455.0,INR,₹455,8640.0,INR,"₹8,640"
560388,How to Start an Amazon FBA Store on a Tight Budget,/course/sell-on-amazon-as-small-start-up/,True,72442,4.59922,4.59604,4.59604,19328,False,103,0,2015-07-21T12:08:25Z,2015-11-01T18:25:10Z,455.0,INR,₹455,8640.0,INR,"₹8,640"
